Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7143043904564768,0.3182604545725705,0.7600797834449352,0.4486586493987049,0.8105827554685583
Random Forest,0.8439481424991829,0.46789402784014367,0.14845419575438096,0.2253947653039152,0.7816581050030431
Decision Tree,0.7770999019501035,0.27611211825407894,0.2820914660208007,0.27906976744186046,0.574980918431079
