threshold,accuracy,precision,recall,f1_score
0.5,0.8439481424991829,0.46898047722342734,0.15401054281236642,0.23187473187473187
0.45,0.8408977012746487,0.45799940635203323,0.21983188488388658,0.29707354639969197
0.4,0.8353633293387079,0.44298152473985986,0.2971933323835304,0.3557298772169168
0.35,0.82320514217235,0.41562644475265836,0.38424276962530274,0.3993189221202251
0.3,0.8044449286414642,0.38667439165701045,0.47542384955121814,0.42648092529874115
0.25,0.7764680248393071,0.3556921432389097,0.5688844564752814,0.4377089613592765
0.2,0.7397537858154483,0.3272051084134447,0.6643396495227241,0.4384579219558063
